rated,winner,increment_code,white_rating,black_rating,victory_status_draw,victory_status_mate,victory_status_outoftime,victory_status_resign,moves_num,opening_num,midMoves_num,pca1,pca2
1.0,black,0.02777777777777778,0.2807933194154488,0.2576419213973799,0.0,0.0,0.0,1.0,0.0,0.1111111111111111,0.1951219512195122,-0.568447311311804,-0.13852490012556512
1.0,white,0.02777777777777778,0.37160751565762007,0.3881004366812227,0.0,1.0,0.0,0.0,0.36507936507936506,0.07407407407407407,0.4878048780487805,0.8643376239603004,-0.1770885583204106
1.0,white,0.11111111111111112,0.34185803757828803,0.36299126637554585,0.0,1.0,0.0,0.0,0.36507936507936506,0.07407407407407407,0.4878048780487805,0.8665672366274779,-0.1742517972561854
1.0,white,0.16666666666666669,0.38569937369519836,0.37117903930130997,0.0,1.0,0.0,0.0,0.6349206349206349,0.14814814814814814,0.6707317073170732,0.8897891023307998,-0.21029783582674125
1.0,white,0.05555555555555556,0.3841336116910229,0.34606986899563313,0.0,0.0,0.0,1.0,0.14285714285714285,0.3333333333333333,0.23170731707317074,-0.5693219806437272,-0.1557674186663836
1.0,black,0.08333333333333334,0.34185803757828803,0.32914847161572053,0.0,0.0,0.0,1.0,0.39682539682539675,0.18518518518518517,0.47560975609756095,-0.5354717402351086,-0.19429481920261615
1.0,white,0.05555555555555556,0.31158663883089766,0.22925764192139736,0.0,1.0,0.0,0.0,0.8253968253968254,0.1111111111111111,0.8292682926829269,0.9200654907409458,-0.23724720965553997
0.0,white,0.11111111111111112,0.31158663883089766,0.26364628820960695,0.0,1.0,0.0,0.0,0.19047619047619047,0.0,0.3780487804878049,0.852997388984899,0.843832609476634
0.0,black,0.11111111111111112,0.31158663883089766,0.5884279475982532,0.0,0.0,0.0,1.0,0.1746031746031746,0.2962962962962963,0.2682926829268293,-0.5755827736611925,0.8279473926450315
0.0,black,0.02777777777777778,0.31158663883089766,0.6260917030567685,0.0,0.0,0.0,1.0,0.3492063492063492,0.07407407407407407,0.47560975609756095,-0.5514211235784617,0.7946655772312343
0.0,black,0.044444444444444446,0.31158663883089766,0.44650655021834057,0.0,0.0,0.0,1.0,0.12698412698412698,0.037037037037037035,0.3170731707317074,-0.5655803621185053,0.8298797521992266
0.0,white,0.08333333333333334,0.16179540709812112,0.19213973799126632,0.0,1.0,0.0,0.0,0.12698412698412698,0.25925925925925924,0.24390243902439027,0.8469266284410821,0.8617170682215243
0.0,black,0.08333333333333334,0.18632567849686843,0.16648471615720523,0.0,0.0,0.0,1.0,0.2222222222222222,0.2222222222222222,0.32926829268292684,-0.5448847409107692,0.8291713930122879
0.0,black,0.08333333333333334,0.16179540709812112,0.19213973799126632,0.0,0.0,0.0,1.0,0.2857142857142857,0.25925925925925924,0.36585365853658536,-0.5396258172617122,0.8206856620922484
0.0,black,0.08333333333333334,0.18632567849686843,0.16648471615720523,0.0,1.0,0.0,0.0,0.39682539682539675,0.25925925925925924,0.451219512195122,0.8749782223475422,0.8234496715985177
0.0,black,0.08333333333333334,0.16179540709812112,0.27893013100436675,0.0,0.0,0.0,1.0,0.6825396825396826,0.14814814814814814,0.7073170731707318,-0.49837758760717016,0.759279717941351
0.0,white,0.061111111111111116,0.3736951983298539,0.16648471615720523,0.0,0.0,0.0,1.0,0.07936507936507936,0.037037037037037035,0.2804878048780488,-0.5612183575580503,0.842635544266013
